[2025-12-15 22:22:03 : INFO] - Cache for URL: https://partumdesign.com.mx/r/ has been purged, triggered by action: save_post 
[2025-12-15 22:22:03 : INFO] - Cache for author page URL: https://partumdesign.com.mx/author/partum-design-agency/ associated with post_type: page and Title: "R" has been purged, triggered by action: save_post 
[2025-12-15 22:22:03 : INFO] - Cache for URL: https://partumdesign.com.mx/r/ has been purged, triggered by action: save_post 
[2025-12-15 22:22:03 : INFO] - Cache for author page URL: https://partumdesign.com.mx/author/partum-design-agency/ associated with post_type: page and Title: "R" has been purged, triggered by action: save_post 
[2025-12-16 23:29:25 : INFO] - Cache for URL: https://partumdesign.com.mx/?elementor_library=kit-por-defecto has been purged, triggered by action: save_post 
[2025-12-16 23:29:25 : INFO] - Cache for author page URL: https://partumdesign.com.mx/author/partum-design-agency/ associated with post_type: elementor_library and Title: "Kit por defecto" has been purged, triggered by action: save_post 
[2025-12-16 23:29:25 : INFO] - Cache for URL: https://partumdesign.com.mx/?elementor_library=kit-por-defecto has been purged, triggered by action: save_post 
[2025-12-16 23:29:25 : INFO] - Cache for author page URL: https://partumdesign.com.mx/author/partum-design-agency/ associated with post_type: elementor_library and Title: "Kit por defecto" has been purged, triggered by action: save_post 
[2025-12-16 23:29:25 : INFO] - Cache for URL: https://partumdesign.com.mx/?elementor_library=kit-por-defecto has been purged, triggered by action: save_post 
[2025-12-16 23:29:25 : INFO] - Cache for author page URL: https://partumdesign.com.mx/author/partum-design-agency/ associated with post_type: elementor_library and Title: "Kit por defecto" has been purged, triggered by action: save_post 
[2025-12-16 23:32:20 : INFO] - Cache for URL: https://partumdesign.com.mx/kafiserviciosaereos/ has been purged, triggered by action: save_post 
[2025-12-16 23:32:20 : INFO] - Cache for author page URL: https://partumdesign.com.mx/author/partum-design-agency/ associated with post_type: page and Title: "kafiserviciosaereos" has been purged, triggered by action: save_post 
[2025-12-16 23:32:20 : INFO] - Cache for URL: https://partumdesign.com.mx/kafiserviciosaereos/ has been purged, triggered by action: save_post 
[2025-12-16 23:32:20 : INFO] - Cache for author page URL: https://partumdesign.com.mx/author/partum-design-agency/ associated with post_type: page and Title: "kafiserviciosaereos" has been purged, triggered by action: save_post 
[2025-12-16 23:32:20 : INFO] - Cache for URL: https://partumdesign.com.mx/kafiserviciosaereos/ has been purged, triggered by action: save_post 
[2025-12-16 23:32:20 : INFO] - Cache for author page URL: https://partumdesign.com.mx/author/partum-design-agency/ associated with post_type: page and Title: "kafiserviciosaereos" has been purged, triggered by action: save_post 
[2025-12-16 23:33:12 : INFO] - Cache for URL: https://partumdesign.com.mx/kafiserviciosaereos/ has been purged, triggered by action: save_post 
[2025-12-16 23:33:12 : INFO] - Cache for author page URL: https://partumdesign.com.mx/author/partum-design-agency/ associated with post_type: page and Title: "KAFI Servicios Aéreos" has been purged, triggered by action: save_post 
[2025-12-17 23:33:31 : INFO] - Cache for URL: https://partumdesign.com.mx/kafiserviciosaereos/ has been purged, triggered by action: save_post 
[2025-12-17 23:33:31 : INFO] - Cache for author page URL: https://partumdesign.com.mx/author/partum-design-agency/ associated with post_type: page and Title: "KAFI Servicios Aéreos" has been purged, triggered by action: save_post 
[2025-12-17 23:33:31 : INFO] - Cache for URL: https://partumdesign.com.mx/kafiserviciosaereos/ has been purged, triggered by action: save_post 
[2025-12-17 23:33:31 : INFO] - Cache for author page URL: https://partumdesign.com.mx/author/partum-design-agency/ associated with post_type: page and Title: "KAFI Servicios Aéreos" has been purged, triggered by action: save_post 
[2025-12-17 23:33:31 : INFO] - Cache for URL: https://partumdesign.com.mx/kafiserviciosaereos/ has been purged, triggered by action: save_post 
[2025-12-17 23:33:31 : INFO] - Cache for author page URL: https://partumdesign.com.mx/author/partum-design-agency/ associated with post_type: page and Title: "KAFI Servicios Aéreos" has been purged, triggered by action: save_post 
[2025-12-17 23:37:39 : INFO] - Cache for URL: https://partumdesign.com.mx/kafiserviciosaereos/ has been purged, triggered by action: save_post 
